trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,0,67,0,114.15372800000478,,114.14190149999922,114.15372800000478,115.15361049998319,115.15361049998319,115.67379440000514,1,down,1,0.5129714999930002,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
68,0,68,0,115.70158019999508,,115.68008140003076,115.70158019999508,116.6855937000364,116.70311240002047,117.28948350000428,4,down,1,0.6006112999748439,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
69,0,69,0,117.30184289999306,,117.29271050001262,117.30184289999306,118.3013815000304,118.3013815000304,118.93607920000795,0,up,1,0.6214408000232652,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
70,0,70,0,118.95206440001493,,118.93755000003148,118.95206440001493,119.93672569998307,119.95312530000228,121.46860560000641,0,down,1,1.5242011999944225,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
71,0,71,0,121.48612290003803,,121.47017660003621,121.48612290003803,122.48517830000492,122.50132039998425,123.23856040003011,0,up,1,0.7371087000356056,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
72,0,72,0,123.25333360000513,,123.24262289999751,123.25333360000513,124.25357719999738,124.25357719999738,125.05448190000607,0,down,1,0.7911890000104904,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
73,0,73,0,125.06933339999523,,125.05846780003048,125.06933339999523,126.069108900032,126.069108900032,127.02001340000425,0,down,0,0.9477016999735497,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
74,0,74,0,127.03493820002768,,127.02123820001725,127.03493820002768,128.03610480000498,128.03610480000498,128.5213889000006,0,down,0,0.479546400019899,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
75,0,75,0,128.53589320002357,,128.52474060002714,128.53589320002357,129.5354577000253,129.5354577000253,130.0891632999992,3,down,1,0.5411378999706358,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
76,0,76,0,130.10231520002708,,130.0929222999839,130.10231520002708,131.10118280001916,131.10118280001916,131.68659180001123,0,up,0,0.5736944999662228,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
77,0,77,0,131.70138829998905,,131.68792980001308,131.70138829998905,132.70154670003103,132.70154670003103,133.31889990001218,0,up,1,0.6103912999969907,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
78,0,78,0,133.3347594999941,,133.32040700002108,133.3347594999941,134.33551360003185,134.33551360003185,134.78670639998745,0,up,1,0.44157050002831966,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
79,0,79,0,134.80151040002238,,134.78825740003958,134.80151040002238,135.8010699999868,135.8010699999868,136.2191285000299,0,up,1,0.41589460003888234,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
80,0,80,0,136.23469180002576,,136.221403500007,136.23469180002576,137.23475140001392,137.23475140001392,137.6864007000113,0,up,1,0.4430298000224866,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
81,0,81,0,137.70161600003485,,137.6883031000034,137.70161600003485,138.70293750002747,138.70293750002747,139.1365877999924,0,up,1,0.4233477999805473,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
82,0,82,0,139.15375450003194,,139.1381886000163,139.15375450003194,140.153848499991,140.153848499991,140.70079740002984,-3,up,0,0.5440168000059202,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
83,0,83,0,140.7179829000379,,140.7028258999926,140.7179829000379,141.70245989999967,141.72024290001718,142.1024175999919,0,up,1,0.38417720003053546,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
84,0,84,0,142.1180299000116,,142.10398940002779,142.1180299000116,143.1191308000125,143.1191308000125,143.55307359999279,0,up,1,0.42329399997834116,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
85,0,85,0,143.56824719998986,,143.55437969998457,143.56824719998986,144.55141780001577,144.5699868000229,144.92132490000222,-3,up,0,0.35885409999173135,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
86,0,86,0,144.93484350002836,,144.9258307000273,144.93484350002836,145.93703860003734,145.93703860003734,146.33961060002912,-5,up,0,0.38826000003609806,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
87,0,87,0,146.35394300002372,,146.34312239999417,146.35394300002372,147.35235300002387,147.35235300002387,147.83559360000072,0,up,1,0.4730785000137985,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
88,0,88,0,147.85125960002188,,147.83678780001355,147.85125960002188,148.8382182000205,148.85300370003097,149.26965890004067,0,up,1,0.4282342999940738,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
89,0,89,0,149.2846726999851,,149.27222990000155,149.2846726999851,150.28562159999274,150.28562159999274,150.75248860003194,0,up,1,0.4589850999764167,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
90,0,90,0,150.7688264999888,,150.75410660001216,150.7688264999888,151.7535840999917,151.7705602000351,152.20240100001683,0,up,1,0.44695840001804754,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
91,0,91,0,152.2177767000394,,152.20355249999557,152.2177767000394,153.20283229998313,153.21934900002088,153.81966330000432,-3,up,0,0.6132212999509647,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
92,0,92,0,153.83521470002597,,153.82122470001923,153.83521470002597,154.8374593000044,154.8374593000044,155.3208292000345,-4,down,1,0.47758589999284595,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
93,0,93,0,155.33573950000573,,155.3222209000378,155.33573950000573,156.33434070000658,156.33434070000658,157.11924660002114,0,up,1,0.7813024000497535,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
94,0,94,0,157.13459259999217,,157.12130140000954,157.13459259999217,158.1352942000376,158.1352942000376,158.48656059999485,0,down,0,0.34713780001038685,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
95,0,95,0,158.50141440000152,,158.48861120000947,158.50141440000152,159.50129430001834,159.50129430001834,160.08532489999197,0,up,1,0.5787489999784157,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
96,0,96,0,160.10140919999685,,160.08741879998706,160.10140919999685,161.10120269999607,161.10120269999607,161.4871136000147,0,up,1,0.37618059996748343,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
97,0,97,0,161.50159210001584,,161.48977089999244,161.50159210001584,162.50283040001523,162.50283040001523,162.905481600028,0,up,1,0.40013309998903424,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
98,0,98,0,162.91971320001176,,162.91002360003768,162.91971320001176,163.91850159998285,163.9352641000296,164.43574939999962,0,up,1,0.5045400999952108,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
99,0,99,0,164.4517437000177,,164.43706389999716,164.4517437000177,165.45146429998567,165.45146429998567,165.86918089998653,-1,up,0,0.4110184999881312,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
